date,fips,county,group,subgroup,case_cnt,hospitalized_cnt,death_cnt,case_rate,hospitalized_rate,death_rate
2021-01-21,36081,Queens,Age,25_34,24483.0,1460.0,57.0,6806.94,405.92,57.0
2021-01-21,36081,Queens,Age,35_44,23110.0,2033.0,203.0,7547.48,663.96,203.0
2021-01-21,36081,Queens,Age,45_54,23720.0,3144.0,457.0,7927.78,1050.8,457.0
2021-01-21,36081,Queens,Age,55_64,22767.0,4882.0,1135.0,7577.18,1624.8,1135.0
2021-01-21,36081,Queens,Age,65_74,13358.0,4842.0,1630.0,6425.85,2329.24,1630.0
2021-01-21,36081,Queens,Age,75+,10692.0,6040.0,3161.0,6663.59,3764.32,3161.0
2021-01-21,36081,Queens,Race_ethnicity,Asian_Pacific_Islander,18202.0,3460.0,955.0,2858.32,489.56,955.0
2021-01-21,36081,Queens,Race_ethnicity,Black_African_American,16286.0,4128.0,1239.0,3715.5,840.57,1239.0
2021-01-21,36081,Queens,Race_ethnicity,Hispanic_Latino,33740.0,7409.0,1982.0,5280.34,1190.76,1982.0
2021-01-21,36081,Queens,Race_ethnicity,White,21990.0,4528.0,1695.0,3685.71,513.2,1695.0
2021-01-21,36081,Queens,Sex,Female,69558.0,9894.0,2582.0,5996.54,852.95,2582.0
2021-01-21,36081,Queens,Sex,Male,69917.0,13156.0,4070.0,6391.6,1202.68,4070.0
2021-01-21,36085,Richmond,Age,0_4,716.0,23.0,,2617.53,84.08,
2021-01-21,36085,Richmond,Age,5_12,1728.0,8.0,,3776.64,17.48,
2021-01-21,36085,Richmond,Age,13_17,1634.0,21.0,,5471.1,70.31,
2021-01-21,36085,Richmond,Age,0_17,,,0.0,,,0.0
2021-01-21,36085,Richmond,Age,18_24,4043.0,82.0,4.0,10191.05,206.69,4.0
2021-01-21,36085,Richmond,Age,25_34,6737.0,219.0,10.0,10409.62,338.39,10.0
2021-01-21,36085,Richmond,Age,35_44,6144.0,296.0,28.0,10382.94,500.22,28.0
2021-01-21,36085,Richmond,Age,45_54,6441.0,528.0,74.0,10037.09,822.79,74.0
2021-01-21,36085,Richmond,Age,55_64,6014.0,847.0,140.0,9094.21,1280.81,140.0
2021-01-21,36085,Richmond,Age,65_74,3325.0,890.0,265.0,7126.17,1907.46,265.0
2021-01-21,36085,Richmond,Age,75+,2709.0,1238.0,673.0,8299.12,3792.66,673.0
2021-01-21,36085,Richmond,Race_ethnicity,Asian_Pacific_Islander,1582.0,212.0,73.0,2948.85,366.61,73.0
2021-01-21,36085,Richmond,Race_ethnicity,Black_African_American,2356.0,496.0,127.0,5239.02,1133.13,127.0
2021-01-21,36085,Richmond,Race_ethnicity,Hispanic_Latino,5404.0,831.0,172.0,6370.06,1149.79,172.0
2021-01-21,36085,Richmond,Race_ethnicity,White,17587.0,2337.0,774.0,6015.45,586.27,774.0
2021-01-21,36085,Richmond,Sex,Female,19811.0,1892.0,511.0,8092.3,772.83,511.0
2021-01-21,36085,Richmond,Sex,Male,19640.0,2258.0,683.0,8490.04,976.09,683.0
