date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-04-03,36011,Cayuga,330235,,,,,70.0,,,,,,,,,,10.0,,,,,
2020-04-03,36013,Chautauqua,330166,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-03,36015,Chemung,330090,,,,,140.0,,,,,,,,,,20.0,,,,,
2020-04-03,36027,Dutchess,330023,,,,,455.0,,,,,,,,,,65.0,,,,,
2020-04-03,36027,Dutchess,330049,,,,,49.0,,,,,,,,,,7.0,,,,,
2020-04-03,36029,Erie,330005,,,,,984.0,,,,,,,,,,140.6,,,,,
2020-04-03,36029,Erie,330102,,,,,105.0,,,,,,,,,,15.0,,,,,
2020-04-03,36029,Erie,330111,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-03,36029,Erie,330219,,,,,346.0,,,,,,,,,,49.4,,,,,
2020-04-03,36029,Erie,330354,,,,,,,,,,,,,,,,,,,,
2020-04-03,36029,Erie,333562,,,,,735.0,,,,,,,,,,105.0,,,,,
2020-04-03,36033,Franklin,330084,,,,,35.0,,,,,,,,,,5.0,,,,,
2020-04-03,36045,Jefferson,331309,,,,,,,,,,,,,,,,,,,,
2020-04-03,36047,Kings,330056,,,,,210.0,,,,,,,,,,30.0,,,,,
2020-04-03,36047,Kings,330201,,,,,140.0,,,,,,,,,,20.0,,,,,
2020-04-03,36047,Kings,330236,,,,,629.0,,,,,,,,,,89.9,,,,,
2020-04-03,36047,Kings,330350,,,,,280.0,,,,,,,,,,40.0,,,,,
2020-04-03,36047,Kings,330397,,,,,140.0,,,,,,,,,,20.0,,,,,
2020-04-03,36051,Livingston,330238,,,,,56.0,,,,,,,,,,8.0,,,,,
2020-04-03,36057,Montgomery,330047,,,,,32.0,,,,,,,,,,8.0,,,,,
2020-04-03,36059,Nassau,330106,,,,,1649.0,,,,,,,,,,235.6,,,,,
2020-04-03,36059,Nassau,330181,,,,,136.0,,,,,,,,,,19.4,,,,,
2020-04-03,36059,Nassau,330259,,,,,294.0,,,,,,,,,,42.0,,,,,
2020-04-03,36061,New York,330024,,,,,1833.0,,,,,,,,,,261.9,,,,,
2020-04-03,36061,New York,330046,,,,,904.0,,,,,,,,,,129.1,,,,,
2020-04-03,36061,New York,330101,,,,,4066.0,,,,,,,,,,580.9,,,,,
2020-04-03,36061,New York,330119,,,,,781.0,,,,,,,,,,111.6,,,,,
2020-04-03,36061,New York,330154,,,,,210.0,,,,,,,,,,30.0,,,,,
2020-04-03,36061,New York,330270,,,,,228.0,,,,,,,,,,32.6,,,,,
2020-04-03,36061,New York,332008,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-03,36071,Orange,330205,,,,,64.0,,,,,,,,,,10.7,,,,,
2020-04-03,36071,Orange,330264,,,,,268.0,,,,,,,,,,38.3,,,,,
2020-04-03,36075,Oswego,330218,,,,,56.0,,,,,,,,,,8.0,,,,,
2020-04-03,36081,Queens,330055,,,,,497.0,,,,,,,,,,71.0,,,,,
2020-04-03,36081,Queens,330193,,,,,371.0,,,,,,,,,,53.0,,,,,
2020-04-03,36085,Richmond,330160,,,,,1393.0,,,,,,,,,,199.0,,,,,
2020-04-03,36087,Rockland,330158,,,,,400.0,,,,,,,,,,66.7,,,,,
2020-04-03,36095,Schoharie,331320,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-03,36097,Schuyler,331313,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-03,36101,Steuben,330144,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-03,36101,Steuben,330277,,,,,46.0,,,,,,,,,,6.6,,,,,
2020-04-03,36103,Suffolk,330045,,,,,541.0,,,,,,,,,,77.3,,,,,
2020-04-03,36103,Suffolk,330107,,,,,196.0,,,,,,,,,,28.0,,,,,
2020-04-03,36103,Suffolk,330393,,,,,1394.0,,,,,,,,,,199.1,,,,,
2020-04-03,36111,Ulster,330224,,,,,259.0,,,,,,,,,,37.0,,,,,
