date,fips,county,hospital_pk,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-07-31,36053,Madison,330115,127.0,125.0,13.0,13.0,42.0,14.0,42.0,14.0,0.0,0.0
2020-07-31,36055,Monroe,330125,,2614.0,,,460.0,218.0,,,,
2020-07-31,36055,Monroe,330226,,1851.0,,,660.0,103.0,,,,
2020-07-31,36055,Monroe,330164,2506.0,1707.0,19.0,18.0,168.0,81.0,168.0,81.0,-999999.0,-999999.0
2020-07-31,36055,Monroe,330285,7133.0,5809.0,104.0,65.0,1400.0,908.0,1260.0,753.0,12.0,12.0
2020-07-31,36057,Montgomery,330047,702.0,274.0,9.0,0.0,72.0,37.0,66.0,37.0,0.0,0.0
2020-07-31,36059,Nassau,330198,2828.0,1918.0,19.0,14.0,287.0,119.0,287.0,116.0,-999999.0,
2020-07-31,36059,Nassau,330331,1086.0,728.0,13.0,-999999.0,120.0,51.0,120.0,51.0,0.0,0.0
2020-07-31,36059,Nassau,330181,735.0,652.0,114.0,77.0,90.0,47.0,90.0,47.0,13.0,12.0
2020-07-31,36059,Nassau,330106,6138.0,4372.0,290.0,101.0,1032.0,567.0,1032.0,409.0,50.0,17.0
2020-07-31,36059,Nassau,330332,1008.0,464.0,14.0,14.0,84.0,59.0,84.0,59.0,0.0,0.0
2020-07-31,36059,Nassau,330027,2338.0,1956.0,75.0,7.0,448.0,396.0,378.0,342.0,31.0,7.0
2020-07-31,36059,Nassau,330182,1792.0,1792.0,33.0,28.0,560.0,204.0,560.0,204.0,-999999.0,-999999.0
2020-07-31,36059,Nassau,330259,1455.0,1108.0,58.0,58.0,126.0,70.0,70.0,39.0,-999999.0,-999999.0
2020-07-31,36061,New York,330240,2161.0,785.0,20.0,6.0,294.0,114.0,294.0,88.0,-999999.0,0.0
2020-07-31,36061,New York,330204,3549.0,3677.0,180.0,111.0,530.0,526.0,460.0,337.0,42.0,30.0
2020-07-31,36061,New York,330214,,9239.0,317.0,317.0,2492.0,1859.0,,,80.0,80.0
2020-07-31,36061,New York,330119,2502.0,2032.0,150.0,24.0,600.0,228.0,600.0,130.0,6.0,-999999.0
2020-07-31,36061,New York,330024,9030.0,8876.0,272.0,38.0,1869.0,1703.0,1722.0,1577.0,13.0,4.0
2020-07-31,36061,New York,330169,3105.0,2372.0,175.0,75.0,303.0,249.0,303.0,249.0,8.0,6.0
2020-07-31,36061,New York,330101,15379.0,15742.0,1013.0,329.0,3325.0,2600.0,1701.0,1538.0,145.0,50.0
2020-07-31,36061,New York,330199,2163.0,954.0,20.0,0.0,125.0,100.0,125.0,61.0,7.0,0.0
2020-07-31,36061,New York,332008,1018.0,1018.0,18.0,18.0,,,,,,
2020-07-31,36061,New York,330154,3298.0,3329.0,64.0,14.0,280.0,188.0,245.0,158.0,-999999.0,0.0
2020-07-31,36061,New York,330046,4812.0,3783.0,228.0,42.0,484.0,351.0,484.0,351.0,19.0,11.0
2020-07-31,36061,New York,330270,1002.0,890.0,6.0,6.0,28.0,17.0,28.0,17.0,6.0,6.0
2020-07-31,36063,Niagara,330188,609.0,288.0,5.0,4.0,84.0,39.0,84.0,39.0,0.0,0.0
2020-07-31,36063,Niagara,330163,490.0,286.0,6.0,,35.0,8.0,35.0,8.0,,
2020-07-31,36063,Niagara,330065,868.0,391.0,23.0,9.0,84.0,37.0,84.0,37.0,5.0,0.0
2020-07-31,36065,Oneida,330245,,,78.0,24.0,,,,,16.0,9.0
2020-07-31,36065,Oneida,330215,,300.0,,,70.0,17.0,,,,
2020-07-31,36065,Oneida,330044,,,99.0,59.0,,,,,15.0,12.0
2020-07-31,36067,Onondaga,330140,3157.0,2314.0,24.0,24.0,560.0,253.0,420.0,208.0,7.0,7.0
2020-07-31,36067,Onondaga,330241,4242.0,4079.0,59.0,40.0,819.0,742.0,714.0,674.0,20.0,18.0
2020-07-31,36069,Ontario,330265,,212.0,,,54.0,17.0,,,,
2020-07-31,36069,Ontario,330058,497.0,333.0,-999999.0,-999999.0,98.0,30.0,98.0,30.0,0.0,0.0
2020-07-31,36069,Ontario,330074,1029.0,473.0,8.0,5.0,84.0,48.0,84.0,48.0,,
2020-07-31,36071,Orange,330135,,,8.0,0.0,,,,,0.0,0.0
2020-07-31,36071,Orange,330264,,678.0,10.0,10.0,245.0,85.0,,,7.0,7.0
2020-07-31,36071,Orange,330126,1990.0,1518.0,65.0,12.0,575.0,156.0,475.0,114.0,10.0,-999999.0
2020-07-31,36071,Orange,330205,,,-999999.0,0.0,,,,,0.0,0.0
2020-07-31,36073,Orleans,331319,,61.0,,,0.0,0.0,,,,
2020-07-31,36075,Oswego,330218,861.0,407.0,7.0,0.0,119.0,31.0,119.0,31.0,0.0,0.0
2020-07-31,36077,Otsego,330085,162.0,162.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36077,Otsego,330136,,771.0,28.0,11.0,150.0,124.0,,119.0,0.0,0.0
2020-07-31,36079,Putnam,330273,798.0,384.0,8.0,5.0,70.0,22.0,70.0,22.0,-999999.0,0.0
2020-07-31,36081,Queens,330014,,2001.0,210.0,85.0,679.0,310.0,644.0,310.0,141.0,29.0
2020-07-31,36081,Queens,330055,3264.0,3179.0,161.0,160.0,525.0,293.0,427.0,225.0,22.0,22.0
2020-07-31,36081,Queens,330128,5814.0,1736.0,137.0,31.0,1456.0,222.0,1428.0,168.0,39.0,5.0
2020-07-31,36081,Queens,330195,7408.0,6908.0,506.0,139.0,1303.0,684.0,774.0,271.0,22.0,9.0
2020-07-31,36081,Queens,330231,3449.0,1184.0,57.0,14.0,196.0,156.0,196.0,99.0,6.0,-999999.0
2020-07-31,36081,Queens,330193,,1162.0,461.0,80.0,413.0,136.0,,,54.0,18.0
2020-07-31,36081,Queens,330395,,970.0,131.0,16.0,238.0,75.0,,75.0,0.0,0.0
2020-07-31,36083,Rensselaer,330180,1218.0,1040.0,87.0,79.0,131.0,96.0,131.0,96.0,14.0,11.0
2020-07-31,36085,Richmond,330160,3536.0,2598.0,199.0,39.0,606.0,321.0,606.0,256.0,23.0,-999999.0
2020-07-31,36085,Richmond,330028,,1511.0,76.0,48.0,259.0,155.0,,,24.0,24.0
2020-07-31,36087,Rockland,330104,,,9.0,5.0,,,,,0.0,0.0
2020-07-31,36087,Rockland,330158,,,30.0,11.0,,,,,5.0,-999999.0
2020-07-31,36089,St. Lawrence,330211,195.0,243.0,0.0,,23.0,23.0,17.0,23.0,,
2020-07-31,36089,St. Lawrence,330197,,487.0,25.0,25.0,84.0,32.0,,,,
2020-07-31,36089,St. Lawrence,330223,62.0,62.0,,,0.0,0.0,,,,
2020-07-31,36089,St. Lawrence,331315,60.0,60.0,,,0.0,0.0,,,,
2020-07-31,36091,Saratoga,330222,,624.0,17.0,17.0,124.0,101.0,,101.0,6.0,6.0
2020-07-31,36093,Schenectady,330406,,,0.0,0.0,,,,,0.0,0.0
2020-07-31,36093,Schenectady,330153,1890.0,1199.0,28.0,0.0,264.0,197.0,264.0,197.0,19.0,0.0
2020-07-31,36095,Schoharie,331320,217.0,97.0,6.0,4.0,0.0,0.0,0.0,0.0,,
2020-07-31,36097,Schuyler,331313,182.0,98.0,0.0,0.0,0.0,0.0,,,,
2020-07-31,36101,Steuben,330144,,26.0,-999999.0,-999999.0,0.0,0.0,,,,
2020-07-31,36101,Steuben,330151,133.0,62.0,-999999.0,,0.0,0.0,0.0,,,
2020-07-31,36101,Steuben,330277,,275.0,-999999.0,,56.0,19.0,,19.0,,
2020-07-31,36103,Suffolk,330286,2639.0,2166.0,57.0,55.0,679.0,398.0,539.0,272.0,20.0,20.0
2020-07-31,36103,Suffolk,330045,1698.0,1323.0,179.0,53.0,306.0,175.0,306.0,163.0,7.0,5.0
2020-07-31,36103,Suffolk,330141,1463.0,1052.0,108.0,15.0,168.0,138.0,168.0,138.0,28.0,0.0
2020-07-31,36103,Suffolk,330043,1558.0,1421.0,179.0,45.0,292.0,225.0,292.0,187.0,6.0,0.0
2020-07-31,36103,Suffolk,330185,1230.0,712.0,273.0,19.0,156.0,64.0,156.0,64.0,23.0,8.0
2020-07-31,36103,Suffolk,330393,4494.0,3876.0,124.0,62.0,651.0,414.0,581.0,371.0,5.0,5.0
2020-07-31,36103,Suffolk,330401,1477.0,912.0,18.0,12.0,161.0,65.0,161.0,65.0,-999999.0,-999999.0
2020-07-31,36103,Suffolk,330246,,998.0,6.0,6.0,204.0,38.0,,38.0,0.0,0.0
2020-07-31,36105,Sullivan,330386,435.0,350.0,12.0,0.0,95.0,28.0,95.0,28.0,-999999.0,0.0
2020-07-31,36109,Tompkins,330307,600.0,564.0,9.0,0.0,112.0,52.0,112.0,52.0,0.0,0.0
2020-07-31,36111,Ulster,331310,266.0,149.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36111,Ulster,330004,805.0,624.0,14.0,-999999.0,91.0,38.0,91.0,38.0,-999999.0,0.0
2020-07-31,36111,Ulster,330224,,0.0,,,0.0,0.0,,,,
2020-07-31,36113,Warren,330191,1442.0,1188.0,17.0,7.0,154.0,95.0,154.0,95.0,0.0,0.0
2020-07-31,36117,Wayne,330030,,351.0,,,84.0,44.0,,,,
2020-07-31,36119,Westchester,330184,1120.0,536.0,36.0,13.0,224.0,40.0,224.0,40.0,12.0,7.0
2020-07-31,36119,Westchester,330234,,2772.0,134.0,79.0,1055.0,790.0,,,4.0,0.0
2020-07-31,36119,Westchester,330162,996.0,376.0,56.0,9.0,186.0,27.0,186.0,27.0,-999999.0,0.0
2020-07-31,36119,Westchester,330006,728.0,543.0,203.0,-999999.0,84.0,38.0,84.0,38.0,19.0,0.0
2020-07-31,36119,Westchester,330304,2126.0,1437.0,74.0,43.0,679.0,77.0,574.0,77.0,8.0,8.0
2020-07-31,36119,Westchester,330086,240.0,126.0,0.0,,55.0,0.0,55.0,0.0,0.0,0.0
2020-07-31,36119,Westchester,330267,728.0,606.0,57.0,57.0,112.0,78.0,84.0,67.0,11.0,11.0
2020-07-31,36119,Westchester,330261,930.0,408.0,35.0,15.0,72.0,38.0,72.0,38.0,0.0,0.0
2020-07-31,36119,Westchester,330208,,108.0,28.0,-999999.0,52.0,13.0,,13.0,-999999.0,
2020-07-31,36123,Yates,331314,126.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36001,Albany,330057,3290.0,2397.0,62.0,60.0,336.0,164.0,196.0,125.0,10.0,10.0
2020-08-07,36003,Allegany,330096,371.0,156.0,7.0,4.0,70.0,15.0,70.0,15.0,,
2020-08-07,36003,Allegany,331301,36.0,36.0,,,0.0,0.0,,,,
2020-08-07,36005,Bronx,330059,9428.0,8193.0,203.0,203.0,1405.0,1087.0,833.0,632.0,12.0,12.0
2020-08-07,36005,Bronx,330385,3110.0,566.0,11.0,10.0,882.0,70.0,882.0,66.0,6.0,5.0
2020-08-07,36005,Bronx,330127,3603.0,2222.0,103.0,47.0,488.0,454.0,425.0,289.0,32.0,19.0
2020-08-07,36005,Bronx,332006,1575.0,1133.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36005,Bronx,330080,5067.0,1434.0,67.0,50.0,378.0,239.0,315.0,164.0,5.0,4.0
2020-08-07,36005,Bronx,330399,2037.0,1385.0,62.0,37.0,392.0,220.0,308.0,208.0,18.0,-999999.0
2020-08-07,36007,Broome,330011,1854.0,856.0,26.0,26.0,108.0,52.0,108.0,52.0,-999999.0,-999999.0
2020-08-07,36007,Broome,330394,1128.0,878.0,60.0,60.0,180.0,133.0,180.0,133.0,47.0,47.0
2020-08-07,36011,Cayuga,330235,,446.0,26.0,0.0,133.0,31.0,133.0,31.0,0.0,0.0
2020-08-07,36013,Chautauqua,330229,195.0,136.0,-999999.0,0.0,40.0,19.0,40.0,,-999999.0,0.0
2020-08-07,36013,Chautauqua,330166,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36013,Chautauqua,330239,896.0,688.0,-999999.0,-999999.0,77.0,45.0,77.0,45.0,-999999.0,-999999.0
2020-08-07,36015,Chemung,330090,1155.0,864.0,0.0,0.0,140.0,105.0,140.0,105.0,0.0,0.0
2020-08-07,36017,Chenango,330033,,61.0,,,49.0,13.0,,,,
2020-08-07,36019,Clinton,330250,,,,,,,,,,
2020-08-07,36021,Columbia,330094,402.0,402.0,17.0,14.0,50.0,16.0,,14.0,,
