date,fips,county,boundary,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-07-31,36105,Sullivan,1.0,87.0,70.0,1.0,0.0,19.0,5.6,19.0,5.6,1.0,0.0
2020-07-31,36107,Tioga,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36109,Tompkins,1.0,150.0,72.4,1.0,0.0,16.0,7.4,16.0,7.4,0.0,0.0
2020-07-31,36111,Ulster,1.0,153.0,110.4,2.0,2.0,13.0,5.4,13.0,5.4,1.0,0.0
2020-07-31,36113,Warren,1.0,206.0,169.7,1.0,1.0,22.0,13.6,22.0,13.6,0.0,0.0
2020-07-31,36115,Washington,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36117,Wayne,1.0,0.0,0.0,0.0,0.0,14.0,7.3,0.0,0.0,0.0,0.0
2020-07-31,36119,Westchester,1.0,1052.7,702.1,115.0,30.5,474.0,215.0,192.0,55.5,7.0,3.0
2020-07-31,36121,Wyoming,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36123,Yates,1.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36061,New York,1.0,6919.3,5595.9,350.3,138.3,1490.0,1137.6,866.0,645.4,46.1,27.8
2020-07-31,99999,New York City,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36089,St. Lawrence,1.0,79.3,79.1,1.0,1.0,16.6,9.2,4.3,4.6,0.0,0.0
2020-07-31,90036,Unassigned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36001,Albany,1.0,470.0,342.4,8.9,8.6,48.0,23.4,28.0,17.9,1.0,1.0
2020-08-07,36003,Allegany,1.0,59.0,28.3,1.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0
2020-08-07,36005,Bronx,1.0,3545.8,1950.2,87.6,73.5,506.4,295.7,394.7,194.1,8.6,5.0
2020-08-07,36007,Broome,1.0,685.0,243.7,24.3,24.3,78.0,53.0,78.0,53.0,16.7,16.7
2020-08-07,36009,Cattaraugus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36011,Cayuga,1.0,0.0,62.1,1.0,0.0,19.0,4.4,19.0,4.4,0.0,0.0
2020-08-07,36013,Chautauqua,1.0,171.0,98.1,2.0,1.0,19.0,7.4,19.0,6.4,2.0,1.0
2020-08-07,36015,Chemung,1.0,165.0,121.4,0.0,0.0,20.0,15.0,20.0,15.0,0.0,0.0
2020-08-07,36017,Chenango,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
2020-08-07,36019,Clinton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36021,Columbia,1.0,80.4,80.4,1.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0
2020-08-07,36023,Cortland,1.0,77.0,41.0,0.0,0.0,12.0,4.8,12.0,4.8,0.0,0.0
2020-08-07,36025,Delaware,1.0,56.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36027,Dutchess,1.0,448.0,331.0,38.3,2.0,48.1,37.7,32.0,24.0,2.0,2.0
