date,fips,county,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-07-31,36093,Schenectady,0.0,1890.0,1199.0,28.0,0.0,264.0,197.0,264.0,197.0,19.0,0.0
2020-07-31,36095,Schoharie,0.0,217.0,97.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36097,Schuyler,0.0,182.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36099,Seneca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36101,Steuben,0.0,133.0,363.0,0.0,0.0,56.0,19.0,0.0,19.0,0.0,0.0
2020-07-31,36103,Suffolk,0.0,14559.0,12460.0,944.0,267.0,2617.0,1517.0,2203.0,1298.0,89.0,38.0
2020-07-31,36105,Sullivan,0.0,435.0,350.0,12.0,0.0,95.0,28.0,95.0,28.0,0.0,0.0
2020-07-31,36107,Tioga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36109,Tompkins,0.0,600.0,564.0,9.0,0.0,112.0,52.0,112.0,52.0,0.0,0.0
2020-07-31,36111,Ulster,0.0,1071.0,773.0,20.0,6.0,91.0,38.0,91.0,38.0,0.0,0.0
2020-07-31,36113,Warren,0.0,1442.0,1188.0,17.0,7.0,154.0,95.0,154.0,95.0,0.0,0.0
2020-07-31,36115,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36117,Wayne,0.0,0.0,351.0,0.0,0.0,84.0,44.0,0.0,0.0,0.0,0.0
2020-07-31,36119,Westchester,0.0,6868.0,6912.0,623.0,216.0,2519.0,1101.0,1279.0,300.0,54.0,26.0
2020-07-31,36121,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36123,Yates,0.0,126.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36061,New York,0.0,48019.0,52697.0,2463.0,980.0,10330.0,7935.0,5962.0,4506.0,326.0,187.0
2020-07-31,99999,New York City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36089,St. Lawrence,0.0,317.0,852.0,25.0,25.0,107.0,55.0,17.0,23.0,0.0,0.0
2020-07-31,90036,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36001,Albany,0.0,3290.0,2397.0,62.0,60.0,336.0,164.0,196.0,125.0,10.0,10.0
2020-08-07,36003,Allegany,0.0,407.0,192.0,7.0,4.0,70.0,15.0,70.0,15.0,0.0,0.0
2020-08-07,36005,Bronx,0.0,24820.0,14933.0,617.0,518.0,3545.0,2070.0,2763.0,1359.0,73.0,40.0
2020-08-07,36007,Broome,0.0,2982.0,1734.0,86.0,86.0,288.0,185.0,288.0,185.0,47.0,47.0
2020-08-07,36009,Cattaraugus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36011,Cayuga,0.0,0.0,446.0,26.0,0.0,133.0,31.0,133.0,31.0,0.0,0.0
2020-08-07,36013,Chautauqua,0.0,1119.0,829.0,0.0,0.0,117.0,64.0,117.0,45.0,0.0,0.0
2020-08-07,36015,Chemung,0.0,1155.0,864.0,0.0,0.0,140.0,105.0,140.0,105.0,0.0,0.0
2020-08-07,36017,Chenango,0.0,0.0,61.0,0.0,0.0,49.0,13.0,0.0,0.0,0.0,0.0
2020-08-07,36019,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36021,Columbia,0.0,402.0,402.0,17.0,14.0,50.0,16.0,0.0,14.0,0.0,0.0
2020-08-07,36023,Cortland,0.0,385.0,205.0,0.0,0.0,60.0,24.0,60.0,24.0,0.0,0.0
2020-08-07,36025,Delaware,0.0,392.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36027,Dutchess,0.0,3136.0,2413.0,276.0,18.0,337.0,277.0,224.0,181.0,23.0,7.0
2020-08-07,36029,Erie,0.0,13401.0,10222.0,256.0,149.0,2986.0,1038.0,2392.0,930.0,53.0,21.0
2020-08-07,36031,Essex,0.0,25.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36033,Franklin,0.0,1057.0,315.0,40.0,0.0,119.0,11.0,119.0,11.0,7.0,0.0
2020-08-07,36035,Fulton,0.0,0.0,177.0,25.0,0.0,56.0,43.0,56.0,43.0,10.0,0.0
2020-08-07,36037,Genesee,0.0,0.0,172.0,0.0,0.0,78.0,21.0,0.0,0.0,0.0,0.0
2020-08-07,36039,Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36041,Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36043,Herkimer,0.0,0.0,116.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36045,Jefferson,0.0,140.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36047,Kings,0.0,23214.0,14182.0,1240.0,345.0,2464.0,1653.0,1890.0,1297.0,216.0,98.0
2020-08-07,36049,Lewis,0.0,0.0,52.0,0.0,0.0,30.0,12.0,0.0,0.0,0.0,0.0
2020-08-07,36051,Livingston,0.0,252.0,207.0,0.0,0.0,56.0,31.0,56.0,31.0,0.0,0.0
2020-08-07,36053,Madison,0.0,285.0,264.0,25.0,11.0,70.0,30.0,47.0,30.0,0.0,0.0
2020-08-07,36055,Monroe,0.0,9639.0,11740.0,139.0,83.0,2780.0,1266.0,1428.0,825.0,28.0,27.0
2020-08-07,36057,Montgomery,0.0,468.0,233.0,0.0,0.0,48.0,23.0,44.0,23.0,0.0,0.0
2020-08-07,36059,Nassau,0.0,18980.0,14384.0,650.0,345.0,2975.0,1736.0,2849.0,1482.0,132.0,41.0
2020-08-07,36063,Niagara,0.0,1880.0,1008.0,29.0,12.0,191.0,106.0,191.0,106.0,4.0,0.0
2020-08-07,36065,Oneida,0.0,0.0,282.0,109.0,66.0,70.0,26.0,0.0,0.0,32.0,21.0
2020-08-07,36067,Onondaga,0.0,7399.0,6560.0,69.0,45.0,1379.0,1004.0,1134.0,898.0,31.0,23.0
2020-08-07,36069,Ontario,0.0,1526.0,991.0,17.0,17.0,236.0,95.0,182.0,72.0,8.0,8.0
2020-08-07,36071,Orange,0.0,1990.0,2378.0,76.0,19.0,820.0,225.0,475.0,113.0,11.0,7.0
2020-08-07,36073,Orleans,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36075,Oswego,0.0,861.0,446.0,6.0,0.0,119.0,41.0,119.0,41.0,0.0,0.0
2020-08-07,36077,Otsego,0.0,100.0,684.0,14.0,0.0,120.0,83.0,0.0,83.0,0.0,0.0
2020-08-07,36079,Putnam,0.0,684.0,410.0,0.0,0.0,60.0,16.0,60.0,0.0,0.0,0.0
2020-08-07,36081,Queens,0.0,20926.0,18338.0,2211.0,582.0,4813.0,2019.0,3457.0,1217.0,300.0,75.0
2020-08-07,36083,Rensselaer,0.0,1221.0,1119.0,84.0,79.0,168.0,91.0,168.0,91.0,14.0,14.0
2020-08-07,36085,Richmond,0.0,4389.0,4626.0,180.0,87.0,938.0,506.0,679.0,309.0,49.0,39.0
