date,boundary,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum
2020-08-28,4.0,226880.0,160453.0,8897.0,3060.0,42716.0,24664.0,30303.0,17467.0,1323.0,668.0
2020-09-04,4.0,234713.0,161848.0,8838.0,3132.0,44394.0,25469.0,31258.0,17604.0,1390.0,759.0
2020-09-11,4.0,232812.0,165762.0,8259.0,3271.0,47133.0,25964.0,33672.0,17593.0,1382.0,798.0
2020-09-18,4.0,236071.0,168519.0,8158.0,3396.0,44282.0,26260.0,31066.0,17835.0,1458.0,875.0
2020-09-25,4.0,230366.0,168626.0,8512.0,3892.0,43213.0,26810.0,29648.0,18113.0,1539.0,882.0
2020-10-02,4.0,234512.0,165907.0,9372.0,4542.0,43669.0,25792.0,30608.0,17828.0,1714.0,1000.0
2020-10-09,4.0,254187.0,182732.0,11084.0,6176.0,45267.0,27021.0,34016.0,19804.0,2038.0,1313.0
2020-10-16,4.0,270140.0,193490.0,11842.0,6759.0,46805.0,28299.0,36180.0,21173.0,2168.0,1438.0
2020-10-23,4.0,283883.0,201617.0,12227.0,7363.0,47199.0,28305.0,37877.0,21784.0,2412.0,1606.0
2020-11-06,4.0,296652.0,214424.0,16422.0,11037.0,48236.0,29126.0,39344.0,22937.0,2787.0,2159.0
2020-11-13,4.0,298183.0,216067.0,20148.0,14926.0,49166.0,29201.0,39988.0,23178.0,3485.0,2790.0
2020-11-27,4.0,300020.0,214839.0,31425.0,26123.0,51096.0,29022.0,41578.0,23495.0,5625.0,4931.0
2021-02-05,4.0,310663.0,234416.0,57872.0,53242.0,47577.0,33595.0,38445.0,27353.0,10524.0,9984.0
