date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-07-31,36037,Genesee,330073,,,,,78,15,,,,,,,,,13.0,-999999.0,,,,
2020-07-31,36043,Herkimer,331311,,104,15,,0,0,,0,,,,14.9,-999999.0,,0.0,0.0,,0.0,,
2020-07-31,36045,Jefferson,331318,137,137,0,,0,0,,,,,19.6,19.6,0.0,,0.0,0.0,,,,
2020-07-31,36045,Jefferson,331309,,71,,,0,0,,,,,,10.1,,,0.0,0.0,,,,
2020-07-31,36047,Kings,330194,3054,2462,107,107,368,284,368,284,63,63,509.0,410.3,17.8,17.8,61.3,47.3,61.3,47.3,10.5,10.5
2020-07-31,36047,Kings,330397,,,,,,,,,,,,,,,,,,,,
2020-07-31,36047,Kings,330233,,,42,26,,,,,10,8,,,6.0,-999999.0,,,,,-999999.0,-999999.0
2020-07-31,36047,Kings,330396,3801,1038,49,24,231,125,231,90,10,5,543.0,148.3,7.0,-999999.0,33.0,17.9,33.0,12.9,-999999.0,-999999.0
2020-07-31,36047,Kings,330202,4637,2320,192,20,350,300,295,175,29,0,662.4,331.4,27.4,-999999.0,50.0,42.9,42.1,25.0,4.1,0.0
2020-07-31,36047,Kings,330019,938,590,24,24,133,86,133,86,0,0,134.0,84.3,-999999.0,-999999.0,19.0,12.3,19.0,12.3,0.0,0.0
2020-07-31,36047,Kings,330056,2758,1012,6,6,315,131,133,68,0,0,394.0,144.6,-999999.0,-999999.0,45.0,18.7,19.0,9.7,0.0,0.0
2020-07-31,36047,Kings,330236,3441,2819,110,84,492,372,254,249,24,24,491.6,402.7,15.7,12.0,70.3,53.1,36.3,35.6,-999999.0,-999999.0
2020-07-31,36047,Kings,330201,,,293,14,,,,,60,0,,,41.9,-999999.0,,,,,8.6,0.0
2020-07-31,36047,Kings,330221,,634,148,22,144,78,144,76,0,0,,105.7,24.7,-999999.0,24.0,13.0,24.0,12.7,0.0,0.0
