date,fips,county,cases,deaths,active,recovered
2020-03-24,36017,Chenango,3,0,0,0
2020-03-24,36019,Clinton,6,0,0,0
2020-03-24,36021,Columbia,18,0,0,0
2020-03-24,36023,Cortland,2,0,0,0
2020-03-24,36025,Delaware,3,0,0,0
2020-03-24,36027,Dutchess,124,1,0,0
2020-03-24,36029,Erie,114,0,0,0
2020-03-24,36031,Essex,3,0,0,0
2020-03-24,36033,Franklin,0,0,0,0
2020-03-24,36035,Fulton,1,0,0,0
2020-03-24,36037,Genesee,1,0,0,0
2020-03-24,36039,Greene,4,0,0,0
2020-03-24,36041,Hamilton,2,0,0,0
2020-03-24,36043,Herkimer,4,0,0,0
2020-03-24,36045,Jefferson,2,0,0,0
2020-03-24,36047,Kings,0,0,0,0
2020-03-24,36049,Lewis,0,0,0,0
2020-03-24,36051,Livingston,3,0,0,0
2020-03-24,36053,Madison,4,1,0,0
2020-03-24,36055,Monroe,106,3,0,0
2020-03-24,36057,Montgomery,3,0,0,0
2020-03-24,36059,Nassau,2869,9,0,0
2020-03-24,36063,Niagara,10,0,0,0
2020-03-24,36065,Oneida,10,0,0,0
2020-03-24,36067,Onondaga,60,1,0,0
2020-03-24,36069,Ontario,6,0,0,0
2020-03-24,36071,Orange,498,0,0,0
2020-03-24,36073,Orleans,0,0,0,0
2020-03-24,36075,Oswego,2,0,0,0
2020-03-24,36077,Otsego,1,0,0,0
2020-03-24,36079,Putnam,82,0,0,0
2020-03-24,36081,Queens,0,0,0,0
2020-03-24,36083,Rensselaer,33,0,0,0
2020-03-24,36085,Richmond,0,0,0,0
2020-03-24,36087,Rockland,671,5,0,0
2020-03-24,36091,Saratoga,53,0,0,0
2020-03-24,36093,Schenectady,44,0,0,0
2020-03-24,36095,Schoharie,1,0,0,0
2020-03-24,36097,Schuyler,0,0,0,0
2020-03-24,36099,Seneca,0,0,0,0
2020-03-24,36101,Steuben,8,0,0,0
2020-03-24,36103,Suffolk,1880,17,0,0
2020-03-24,36105,Sullivan,23,0,0,0
2020-03-24,36107,Tioga,1,0,0,0
2020-03-24,36109,Tompkins,16,0,0,0
2020-03-24,36111,Ulster,35,0,0,0
2020-03-24,36113,Warren,2,0,0,0
2020-03-24,36115,Washington,3,0,0,0
2020-03-24,36117,Wayne,6,0,0,0
2020-03-24,36119,Westchester,3891,1,0,0
2020-03-24,36121,Wyoming,4,1,0,0
2020-03-24,36123,Yates,0,0,0,0
2020-03-24,36061,New York,0,0,0,0
2020-03-24,99999,New York City,14904,131,0,0
2020-03-24,36089,St. Lawrence,1,0,0,0
2020-03-24,90036,Unassigned,0,39,0,0
2020-03-25,36001,Albany,152,0,0,0
2020-03-25,36003,Allegany,2,0,0,0
2020-03-25,36005,Bronx,0,0,0,0
2020-03-25,36007,Broome,11,2,0,0
2020-03-25,36009,Cattaraugus,0,0,0,0
2020-03-25,36011,Cayuga,2,0,0,0
2020-03-25,36013,Chautauqua,2,0,0,0
2020-03-25,36015,Chemung,3,0,0,0
2020-03-25,36017,Chenango,3,0,0,0
2020-03-25,36019,Clinton,10,0,0,0
2020-03-25,36021,Columbia,19,0,0,0
2020-03-25,36023,Cortland,3,0,0,0
2020-03-25,36025,Delaware,5,0,0,0
2020-03-25,36027,Dutchess,153,1,0,0
2020-03-25,36029,Erie,122,1,0,0
2020-03-25,36031,Essex,4,0,0,0
2020-03-25,36033,Franklin,1,0,0,0
2020-03-25,36035,Fulton,1,0,0,0
2020-03-25,36037,Genesee,2,0,0,0
2020-03-25,36039,Greene,4,0,0,0
2020-03-25,36041,Hamilton,2,0,0,0
2020-03-25,36043,Herkimer,5,0,0,0
2020-03-25,36045,Jefferson,2,0,0,0
2020-03-25,36047,Kings,0,0,0,0
2020-03-25,36049,Lewis,0,0,0,0
2020-03-25,36051,Livingston,3,0,0,0
2020-03-25,36053,Madison,7,1,0,0
2020-03-25,36055,Monroe,118,3,0,0
2020-03-25,36057,Montgomery,4,0,0,0
2020-03-25,36059,Nassau,3285,17,0,0
2020-03-25,36063,Niagara,12,0,0,0
2020-03-25,36065,Oneida,10,0,0,0
2020-03-25,36067,Onondaga,81,1,0,0
2020-03-25,36069,Ontario,9,0,0,0
2020-03-25,36071,Orange,638,1,0,0
2020-03-25,36073,Orleans,0,0,0,0
2020-03-25,36075,Oswego,2,0,0,0
2020-03-25,36077,Otsego,2,0,0,0
2020-03-25,36079,Putnam,84,0,0,0
2020-03-25,36081,Queens,0,0,0,0
2020-03-25,36083,Rensselaer,33,0,0,0
2020-03-25,36085,Richmond,0,0,0,0
2020-03-25,36087,Rockland,968,5,0,0
2020-03-25,36091,Saratoga,64,0,0,0
2020-03-25,36093,Schenectady,55,1,0,0
2020-03-25,36095,Schoharie,2,0,0,0
2020-03-25,36097,Schuyler,0,0,0,0
2020-03-25,36099,Seneca,0,0,0,0
2020-03-25,36101,Steuben,8,0,0,0
2020-03-25,36103,Suffolk,2260,20,0,0
2020-03-25,36105,Sullivan,39,0,0,0
2020-03-25,36107,Tioga,1,0,0,0
2020-03-25,36109,Tompkins,18,0,0,0
2020-03-25,36111,Ulster,65,0,0,0
2020-03-25,36113,Warren,2,0,0,0
2020-03-25,36115,Washington,4,0,0,0
2020-03-25,36117,Wayne,7,0,0,0
2020-03-25,36119,Westchester,4691,1,0,0
2020-03-25,36121,Wyoming,4,1,0,0
2020-03-25,36123,Yates,0,0,0,0
2020-03-25,36061,New York,0,0,0,0
2020-03-25,99999,New York City,17856,199,0,0
2020-03-25,36089,St. Lawrence,1,0,0,0
2020-03-25,90036,Unassigned,0,31,0,0
2020-03-26,36001,Albany,171,0,0,0
2020-03-26,36003,Allegany,2,0,0,0
2020-03-26,36005,Bronx,0,0,0,0
2020-03-26,36007,Broome,16,2,0,0
2020-03-26,36009,Cattaraugus,0,0,0,0
2020-03-26,36011,Cayuga,2,0,0,0
2020-03-26,36013,Chautauqua,2,0,0,0
2020-03-26,36015,Chemung,7,0,0,0
2020-03-26,36017,Chenango,3,0,0,0
2020-03-26,36019,Clinton,11,0,0,0
2020-03-26,36021,Columbia,24,0,0,0
2020-03-26,36023,Cortland,3,0,0,0
2020-03-26,36025,Delaware,7,0,0,0
2020-03-26,36027,Dutchess,190,1,0,0
2020-03-26,36029,Erie,206,2,0,0
2020-03-26,36031,Essex,5,0,0,0
